,date,open,high,low,close
1585,2011-10-17,2658.95,2687.1,2653.38,2666.95
1586,2011-10-18,2646.84,2651.73,2589.21,2592.21
1587,2011-10-19,2599.92,2617.41,2580.66,2583.08
1588,2011-10-20,2566.6,2570.1,2500.49,2520.53
1589,2011-10-21,2522.26,2538.12,2504.69,2507.88
1590,2011-10-24,2517.06,2581.12,2501.96,2576.67
1591,2011-10-25,2572.71,2633.97,2560.05,2625.43
1592,2011-10-26,2613.27,2679.66,2611.01,2651.65
1593,2011-10-27,2658.43,2672.84,2647.3,2657.48
1594,2011-10-28,2694.54,2729.14,2689.38,2709.02
1595,2011-10-31,2704.53,2709.32,2680.99,2695.31
1596,2011-11-01,2672.51,2726.09,2669.05,2697.53
1597,2011-11-02,2658.55,2742.94,2653.72,2742.39
1598,2011-11-03,2752.63,2781.04,2743.2,2744.3
1599,2011-11-04,2770.57,2781.99,2748.98,2763.75
1600,2011-11-07,2750.99,2769.3,2733.17,2736.25
1601,2011-11-08,2745.06,2756.09,2723.69,2727.71
1602,2011-11-09,2739.15,2755.81,2710.05,2751.65
1603,2011-11-10,2720.84,2729.57,2698.31,2699.59
1604,2011-11-11,2705.24,2713.91,2685.1,2695
1605,2011-11-14,2717.54,2751.88,2714.86,2750.2
1606,2011-11-15,2746.77,2754,2732.91,2744.68
1607,2011-11-16,2745.86,2746.29,2659.15,2670.12
1608,2011-11-17,2671.95,2687.83,2660.65,2662.02
1609,2011-11-18,2643.67,2646.21,2601.18,2606.5
1610,2011-11-21,2608.56,2613.26,2587.74,2609.69
1611,2011-11-22,2592.23,2611.15,2580.78,2609.48
1612,2011-11-23,2613.29,2617.09,2578.16,2584.01
1613,2011-11-24,2565.69,2604.24,2557.7,2588.92
1614,2011-11-25,2585.14,2598.39,2563.65,2569.97
1615,2011-11-28,2578.34,2589.35,2562.49,2573.32
1616,2011-11-29,2595.09,2609.19,2580.29,2608.57
1617,2011-11-30,2600.1,2601.9,2507.18,2521.52
1618,2011-12-01,2596.15,2630.66,2577.72,2583.61
1619,2011-12-02,2570.56,2575.69,2543.53,2557.06
1620,2011-12-05,2561.2,2561.2,2517.18,2520.96
1621,2011-12-06,2515.04,2525.67,2499.57,2516.34
1622,2011-12-07,2517.34,2534.53,2509.78,2528.23
1623,2011-12-08,2525.04,2549.1,2494.69,2525
1624,2011-12-09,2506.62,2525.16,2496.97,2503.46
1625,2011-12-12,2497.92,2502.05,2476.12,2477.69
1626,2011-12-13,2467.02,2472.66,2439.08,2442.5
1627,2011-12-14,2415.94,2433.55,2399.91,2401.57
1628,2011-12-15,2382.44,2384.47,2341.15,2353.5
